id,origen,destino,razon_viaje,transporte_utilizado,num_transbordos,tiempo_llegada,hora_inicio,hora_llegada,frecuencia_viaje,razon_transporte,costo_viaje,nivel_confort,satisfaccion_transporte,considera_otro_transporte,edad,genero,ocupacion,ingreso_mensual,vehiculos_hogar,factores_importantes,cambios_viaje,mejoras_transporte,acompanamiento,gasto_mensual_transporte,seguridad_trayecto
2024-09-27 23:43:31.805,89,valle_dorado,Estudio,Autobús,1,40-50 minutos ,08:10:00,09:00:00,Diariamente,Es la única opción,6 pesos,3,2,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",20,Femenino,Estudiante,menos de 8 mil,1,Seguridad,No,"Más eficientes, mejor trato y mejores choferes ",Solo,350,3
2024-09-27 23:52:11.510,valle_de_chapultepec,uabc_sauzal,Estudio,Autobús,1,70 minutos,11:40:00,12:50:00,3 veces por semana,Costo,24 pesos diarios,2,3,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",20,Femenino,Estudiante,menos de 8 mil,3 o más,"Tiempo, Costo","Utilizo el automovil para ir a la universidad dos veces por semana, los días que salgo más tarde o que generalmente tengo más cosas que hacer en la universidad, así no me tengo que preocupar por si pierdo el micro por la noche o de si lograré tener un asiento que necesitaré por lo cansada que estaré ",Una mejor ventilación y que se respete el número limite de personas que pueden subir,Sola,$480,3
2024-09-27 23:52:47.550,josefa ortiz de dominguez ,uabc_sauzal,Estudio,Autobús,1,1:00 hora,07:00:00,07:55:00,Diariamente,Es la única opción,7,1,1,"Transporte privado (Didi, Uber, Indriver etc. )",26,Femenino,Estudiante,menos de 8 mil,0,Costo,No,Que no lo saturen de personas!! Que no manejen tan salvajemente.,Solo,$300,1
2024-09-28 00:02:09.558,buena_vista_(zorrillo),valle_dorado,Estudio,Autobús,2, 50 minutos ,06:20:00,07:10:00,Diariamente,Es la única opción,8 pesos,2,2,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",24,Femenino,Estudiante,10 mil - 12 mil,1,Costo,No,Que en la mañana hayan más unidades y pasen en menor tiempo uno tras o otro,Sola,450 pesos,2
2024-09-28 00:05:26.932,moderna,valle_dorado,Estudio,Autobús,2,50-60 minutos ,05:50:00,06:50:00,Diariamente,Es la única opción,6 pesos por ser estudiante,2,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",21,Femenino,Estudiante,menos de 8 mil,0,"Tiempo, Costo, Seguridad, Comodidad",No,"Vias mas rapidas para hacer un menos tiempo, mejor calidad del transporte, mas opciones de la ruta",Solo,450,3
2024-09-28 00:32:49.553,villas_del_real,valle_dorado,Estudio,Autobús,2,45 minutos ,07:00:00,07:45:00,Diariamente,Es la única opción,13,2,2,"Transporte privado (Didi, Uber, Indriver etc. )",24,Masculino,Estudiante,8 mil - 10 mil,3 o más,Tiempo,"Si, comprar un auto ",Que pasen con más frecuente,"Solo, como perro sin casa ",390,4
2024-09-28 01:25:00.904,colonia maestros. ,cicese,Estudio,Autobús,2,De 30 minutos a una hora,11:30:00,12:20:00,Diariamente,Costo,6 pesos por microbus. ,2,3,"Transporte privado (Didi, Uber, Indriver etc. )",32,Femenino,Estudiante,Más de 16 mil,1,"Costo, Seguridad","Por costo, aunque tengo vehiculo particular, uso el transporte público para trasladarme a mi lugar de estudio. ","Más corridas para evitar sobrecupo, mejores condiciones de unidades.",Sola,1800,3
2024-09-28 03:20:52.230,sauzal,uabc_sauzal,Compras,Autobús,1,15 minutos ,08:30:00,08:45:00,Diariamente,Es la única opción,$6,4,3,"Transporte privado (Didi, Uber, Indriver etc. )",23,Femenino,Estudiante,menos de 8 mil,0,"Tiempo, Costo, Seguridad, Comodidad",No ,Más unidades más frecuente,Solo ,$120 aproximadamente ,3
2024-09-28 06:10:12.142,maneadero,valle_dorado,Estudio,Autobús,1,35 minutos ,06:00:00,06:35:00,Diariamente,Es la única opción,14 pesos,1,1,"Transporte particular (Automóvil, Motocicleta, Bicicleta etc.)",19,Femenino,Estudiante,menos de 8 mil,1,Tiempo,No,Más comodidad y limpieza ,Sola,420,1
2024-09-28 07:45:29.842,valle_dorado,uabc_sauzal,Estudio,Autobús,1,40 minutos,07:20:00,08:00:00,Diariamente,Costo,6.50 pesos,2,3,"Transporte privado (Didi, Uber, Indriver etc. )",22,Masculino,Estudiante,menos de 8 mil,0,"Tiempo, Costo",Ninguno,"Número de vehículos en la misma ruta, limpieza y mantenimiento de los vehículos.",Sólo ,200 pesos aprox.,3
